UDI,Type_L,Type_M,Type_H,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp_diff_K,Power_proxy,wear_raw,RUL,Machine failure,split
63,1,0,0,-0.6024172079894964,-0.6777563452951486,2.008571625856435,-1.7231461709606726,1.0062534190559442,0.1991621231724872,-1.7205959431793676,172,81.0,0,train
64,0,1,0,-0.5524211743618752,-0.6777563452951486,1.8943174490679675,-1.4205476672075157,1.0376747814208818,0.09926639002686265,-1.2368828281100313,174,79.0,0,train
65,1,0,0,-0.5024251407342256,-0.6103554596895817,-0.04800355633597764,-0.13954733465248514,1.0848068249682883,0.09926639002686265,-0.10042010883265612,177,76.0,0,val
66,1,0,0,-0.5024251407342256,-0.6103554596895817,-0.9149911331425828,0.5160827568126879,1.1162281873332258,0.09926639002686265,0.2907906725625138,179,74.0,0,train
67,0,1,0,-0.5524211743618752,-0.7451572309007156,1.0004465365464288,-1.1381223970379026,1.1476495496981634,-0.0006293431188186668,-1.1164505596802412,181,72.0,0,train
68,0,0,1,-0.6024172079894964,-0.7451572309007156,-0.43109109027377995,0.41521658889496893,1.1947815932455699,0.09926639002680586,0.46151407608590556,184,69.0,0,train
69,1,0,0,-0.6024172079894964,-0.7451572309007156,-0.02112022062104414,-0.7649175757423428,1.273334999157914,0.09926639002680586,-0.9930470215955975,189,64.0,0,train
70,1,0,0,-0.5524211743618752,-0.6777563452951486,-0.8074577902828489,2.593925815917698,1.3047563615228515,0.09926639002686265,3.143937981524407,191,62.0,1,train
71,0,1,0,-0.5524211743618752,-0.6777563452951486,2.455507082117204,-1.7534060213359879,1.336177723887789,0.09926639002686265,-1.6291383462548104,193,60.0,0,test
72,1,0,0,-0.5524211743618752,-0.6103554596895817,-0.5251827652760472,0.5564292239797752,1.3833097674351955,0.19916212317254398,0.5971764976820257,196,57.0,0,val
73,1,0,0,-0.5524211743618752,-0.6103554596895817,-1.0830119813609171,0.4454764392702843,1.414731129800133,0.19916212317254398,0.09087214849497978,198,55.0,0,val
74,1,0,0,-0.5024251407342256,-0.6103554596895817,0.41573398474662515,-0.5026655391562734,1.4461524921650706,0.09926639002686265,-0.3944607877732931,200,53.0,0,train
75,1,0,0,-0.5524211743618752,-0.6777563452951486,0.4762214901052255,-0.7750041925341148,1.4775738545300083,0.09926639002686265,-0.7785884457009256,202,51.0,0,test
76,1,0,0,-0.6024172079894964,-0.7451572309007156,-1.0158036420735834,0.6774686254810383,1.5089952168949459,0.09926639002680586,0.4374276223999479,204,49.0,0,val
77,1,0,0,-0.6024172079894964,-0.7451572309007156,-0.4646952599174468,0.7985080269823005,1.5404165792598834,0.09926639002680586,0.9725053635349619,206,47.0,0,test
78,1,0,0,-0.6024172079894964,-0.7451572309007156,-0.5050202634898471,0.13279131872535552,1.5718379416248212,0.09926639002680586,0.024536157265168074,208,45.0,1,train
79,1,0,0,-0.6024172079894964,-0.7451572309007156,-0.8881077974276493,1.1616262314860888,-1.6959837443286894,0.09926639002680586,1.1656474758412656,0,253.0,0,train
80,1,0,0,-0.6024172079894964,-0.7451572309007156,-0.8612244617127159,-0.21015365219488868,-1.6645623819637516,0.09926639002680586,-0.6421496600982147,2,251.0,0,train
81,0,0,1,-0.6024172079894964,-0.8125581165062443,-0.5722286027771808,1.0002403628177383,-1.633141019598814,-0.0006293431188186668,1.176046919633253,4,249.0,0,test
82,1,0,0,-0.5524211743618752,-0.7451572309007156,-0.5386244331335139,0.7581615598152132,-1.55458761368647,-0.0006293431188186668,0.8664118673750463,9,244.0,0,train
83,1,0,0,-0.5524211743618752,-0.7451572309007156,-0.5184619313473138,0.08235823476649605,-1.5231662513215325,-0.0006293431188186668,-0.053013980726509584,11,242.0,0,train
84,1,0,0,-0.5024251407342256,-0.6777563452951486,-0.41092858848757985,0.011751917224093241,-1.491744888956595,-0.0006293431188186668,-0.08900468251352533,13,240.0,0,val
85,1,0,0,-0.5524211743618752,-0.7451572309007156,-0.7268077831380484,0.7682481766069852,-1.4603235265916572,-0.0006293431188186668,0.7525643158900444,15,238.0,0,train
86,0,1,0,-0.5024251407342256,-0.6777563452951486,1.8405507776381005,-1.3297681160815684,-1.4289021642267197,-0.0006293431188186668,-1.1011245591056893,17,236.0,0,train
87,0,0,1,-0.5024251407342256,-0.6777563452951486,-0.6327161081357812,0.39504335531142487,-1.3817701206793134,-0.0006293431188186668,0.3071805793683189,20,233.0,0,train
88,1,0,0,-0.5024251407342256,-0.6777563452951486,0.09313395616742322,-0.8254372764929738,-1.3032167147669693,-0.0006293431188186668,-1.0290473081234353,25,228.0,0,train
89,0,1,0,-0.5024251407342256,-0.6777563452951486,-0.7469702849242486,0.5261693736044599,-1.2717953524020318,-0.0006293431188186668,0.41245937255835596,27,226.0,0,train
90,0,1,0,-0.5524211743618752,-0.7451572309007156,-0.2899535777703791,-0.04876778352653825,-1.2246633088546253,-0.0006293431188186668,-0.10533708087439793,30,223.0,0,train
91,1,0,0,-0.5524211743618752,-0.7451572309007156,1.4977882472726984,-1.4306342839992874,-1.177531265307219,-0.0006293431188186668,-1.4001493032738224,33,220.0,0,train
92,1,0,0,-0.5524211743618752,-0.7451572309007156,2.0152924597851682,-1.5214138351252346,-1.1461099029422812,-0.0006293431188186668,-1.367599523441943,35,218.0,0,train
93,0,1,0,-0.5524211743618752,-0.7451572309007156,1.3230465651256307,-1.2995082657062527,-1.1146885405773437,-0.0006293431188186668,-1.249256728511372,37,216.0,0,val
94,1,0,0,-0.452429107106576,-0.6777563452951486,-0.5386244331335139,0.304263804185478,-1.0675564970299374,-0.10052507626449998,0.24100752873248343,40,213.0,0,test
95,1,0,0,-0.5024251407342256,-0.7451572309007156,0.6173590026086264,-0.8153506597012022,-1.0361351346649996,-0.10052507626449998,-0.7757609471584036,42,211.0,0,val
96,0,1,0,-0.5024251407342256,-0.6777563452951486,-1.2039869920781179,1.2322325490284922,-1.004713772300062,-0.0006293431188186668,1.024291718196813,44,209.0,0,test
97,0,1,0,-0.5024251407342256,-0.6777563452951486,0.3014798079581578,-0.472405688780958,-0.9575817287526557,-0.0006293431188186668,-0.4062020952803764,47,206.0,0,train
98,0,1,0,-0.5524211743618752,-0.7451572309007156,1.4776257454864983,-1.01708299553664,-0.9104496852052493,-0.0006293431188186668,-0.719862738683868,50,203.0,0,train
99,1,0,0,-0.5524211743618752,-0.8125581165062443,-0.0076785527635773905,-0.7346577253670267,-0.8633176416578429,-0.1005250762644432,-0.9428709033918602,53,200.0,0,train
100,1,0,0,-0.6024172079894964,-0.8125581165062443,-0.04800355633597764,0.4454764392702843,-0.8318962792929053,-0.0006293431188186668,0.7462383869474529,55,198.0,0,val
101,1,0,0,-0.6024172079894964,-0.7451572309007156,2.1631508062173026,-1.5113272183334625,-0.8004749169279677,0.09926639002680586,-1.2973433732158897,57,196.0,0,train
102,1,0,0,-0.6024172079894964,-0.8125581165062443,2.455507082117204,-1.9450517403796541,-0.7690535545630302,-0.0006293431188186668,-1.9743279945926282,59,194.0,0,test
103,1,0,0,-0.6024172079894964,-0.8125581165062443,0.16706312938349033,0.0621850011829527,-0.7376321921980925,-0.0006293431188186668,0.316056049369591,61,192.0,0,train
104,0,1,0,-0.6024172079894964,-0.8125581165062443,-0.5991119384921143,0.05209838439118067,-0.7062108298331549,-0.0006293431188186668,-0.1413757063655249,63,190.0,0,train
105,1,0,0,-0.6024172079894964,-0.8799590021118113,-0.5386244331335139,0.3446102713525654,-0.6590787862857486,-0.10052507626449998,0.29659902550071127,66,187.0,0,val
106,1,0,0,-0.6024172079894964,-0.8799590021118113,0.4090131508178918,-0.896043594035377,-0.6276574239208109,-0.10052507626449998,-0.9925390303320247,68,185.0,0,test
107,1,0,0,-0.6024172079894964,-0.8799590021118113,-0.5722286027771808,0.859027727732932,-0.5962360615558733,-0.10052507626449998,0.9821476128020034,70,183.0,0,train
108,0,1,0,-0.6024172079894964,-0.8125581165062443,-0.22274523848304537,0.6875552422728096,-0.5648146991909357,-0.0006293431188186668,0.9799527071537397,72,181.0,0,val
109,0,0,1,-0.5524211743618752,-0.8125581165062443,0.6106381686798931,-0.7346577253670267,-0.5176826556435293,-0.1005250762644432,-0.6545235604995556,75,178.0,0,train
110,1,0,0,-0.5524211743618752,-0.8799590021118113,0.2813173061719577,-0.5934450902822203,-0.43912924973118533,-0.20042080941012452,-0.5971588866792378,80,173.0,0,train
111,1,0,0,-0.6024172079894964,-0.9473598877173399,2.29756748479197,-1.7634926381277598,-0.40770788736624775,-0.20042080941012452,-1.697985539580014,82,171.0,0,train
112,0,0,1,-0.652413241617146,-0.9473598877173399,-0.2093035706255786,0.3546968881443374,-0.3762865250013101,-0.1005250762644432,0.5147956503160054,84,169.0,0,test
113,0,1,0,-0.6024172079894964,-0.8799590021118113,-0.216024404554312,-0.04876778352653825,-0.2977331190889661,-0.10052507626449998,-0.06369138200233761,89,164.0,0,train
114,0,1,0,-0.6024172079894964,-0.9473598877173399,-0.29667441169911246,0.193311019475987,-0.25060107554155975,-0.20042080941012452,0.23270714318053784,92,161.0,0,train
115,1,0,0,-0.6024172079894964,-0.9473598877173399,1.007167370475162,-1.0675160794954994,-0.2034690319941533,-0.20042080941012452,-1.0009831869963026,95,158.0,0,train
116,1,0,0,-0.6024172079894964,-0.9473598877173399,-0.666320277779448,0.5766024575633193,-0.17204766962921572,-0.20042080941012452,0.5330258273596558,97,156.0,0,val
117,1,0,0,-0.5524211743618752,-0.8799590021118113,0.2275506347420907,-0.5934450902822203,-0.14062630726427813,-0.20042080941012452,-0.6233060596419493,99,154.0,0,train
118,1,0,0,-0.6024172079894964,-0.9473598877173399,0.46277982224775877,-0.7043978749917112,-0.10920494489934052,-0.20042080941012452,-0.6774981842501495,101,152.0,0,train
119,0,1,0,-0.6024172079894964,-0.9473598877173399,1.1886298865509632,-1.1986420977885337,-0.07778358253440293,-0.20042080941012452,-1.137594497933811,103,150.0,0,val
120,1,0,0,-0.652413241617146,-1.014760773322907,-0.4243702563450466,0.07227161797472474,-0.030651538986996525,-0.20042080941012452,-0.01232675593665939,106,147.0,0,train
121,1,0,0,-0.5524211743618752,-0.8799590021118113,-0.6528786099219813,0.47573628964560044,0.0007698233779410748,-0.20042080941012452,0.40443694449025164,108,145.0,0,train
122,1,0,0,-0.5524211743618752,-0.8799590021118113,0.18722563116969046,0.1227047019335842,0.03219118574287867,-0.20042080941012452,0.41732842089598726,110,143.0,0,val
123,1,0,0,-0.5024251407342256,-0.8125581165062443,-1.4795411831561862,1.0809332971519139,0.06361254810781627,-0.20042080941012452,0.6308189379676257,112,141.0,0,train
124,1,0,0,-0.5524211743618752,-0.8799590021118113,0.10657562402488997,0.3446102713525654,0.09503391047275388,-0.20042080941012452,0.6959376671130285,114,139.0,0,train
125,1,0,0,-0.5524211743618752,-0.8799590021118113,1.3230465651256307,-1.0675160794954994,0.12645527283769148,-0.20042080941012452,-0.8685412383164114,116,137.0,0,train
126,1,0,0,-0.5524211743618752,-0.9473598877173399,0.20066729902715721,-0.785090809325886,0.15787663520262907,-0.300316542555749,-0.9204713640905927,118,135.0,0,train
127,1,0,0,-0.5024251407342256,-0.9473598877173399,-1.3518453385102522,2.069421742745559,0.18929799756756668,-0.40021227570143036,1.9714845604600162,120,133.0,0,test
128,1,0,0,-0.5524211743618752,-0.9473598877173399,-0.7872952884966488,0.6572953918974942,0.22071935993250427,-0.300316542555749,0.5625276596101044,122,131.0,0,val
129,1,0,0,-0.5024251407342256,-0.9473598877173399,0.3821298151029583,-0.13954733465248514,0.2521407222974419,-0.40021227570143036,0.13636132843670606,124,129.0,0,train
130,1,0,0,-0.5524211743618752,-1.014760773322907,0.19394646509842384,-0.573271856698677,0.2835620846623795,-0.40021227570143036,-0.6097628208603109,126,127.0,0,train
131,1,0,0,-0.6024172079894964,-1.082161658928474,-0.38404525277264634,0.11261808514181217,0.31498344702731707,-0.40021227570148715,0.06755247407479084,128,125.0,0,test
132,1,0,0,-0.6024172079894964,-1.082161658928474,1.3902549044129644,-1.2389885649556216,0.34640480939225465,-0.40021227570148715,-1.123389912035447,130,123.0,0,train
133,0,1,0,-0.652413241617146,-1.082161658928474,-0.5991119384921143,0.32443703776902205,0.37782617175719224,-0.3003165425558058,0.23153780480024092,132,121.0,0,train
134,0,1,0,-0.652413241617146,-1.082161658928474,-0.6730411117081814,0.969980512442423,0.42495821530459865,-0.3003165425558058,1.0631865964529286,135,118.0,0,test
135,1,0,0,-0.6024172079894964,-1.082161658928474,-1.0830119813609171,1.3129254833626671,0.47209025885200506,-0.40021227570148715,1.2193220244450718,138,115.0,0,train
136,0,1,0,-0.6024172079894964,-1.014760773322907,1.2155132222658966,-1.1582956306214465,0.5035116212169427,-0.3003165425558058,-1.061223283063253,140,113.0,0,train
137,0,0,1,-0.652413241617146,-1.014760773322907,-0.7402494509955152,0.5766024575633193,0.5506436647643491,-0.20042080941012452,0.48484333524691786,143,110.0,0,test
138,1,0,0,-0.652413241617146,-0.9473598877173399,-1.56691202422972,1.5449176695734204,0.6291970706766931,-0.1005250762644432,1.1394907181377314,148,105.0,0,train
139,0,0,1,-0.6024172079894964,-0.9473598877173399,-0.5453452670622473,0.949807278858879,0.6606184330416307,-0.20042080941012452,1.1257366150580062,150,103.0,0,test
140,1,0,0,-0.6024172079894964,-0.9473598877173399,-1.761816208162988,1.59535075353228,0.7391718389539746,-0.20042080941012452,1.046547486385748,155,98.0,0,train
141,1,0,0,-0.6024172079894964,-0.9473598877173399,-0.1286535634807781,-0.39171275444678244,0.7705932013189123,-0.20042080941012452,-0.5068802128758008,157,96.0,0,train
142,1,0,0,-0.652413241617146,-1.014760773322907,0.09313395616742322,-0.4824923055727293,0.8020145636838498,-0.20042080941012452,-0.525886753926041,159,94.0,0,train
143,0,1,0,-0.7024092752447672,-1.082161658928474,1.6658090954910327,-1.1885554809967622,0.8334359260487875,-0.20042080941018128,-0.9293276646102216,161,92.0,0,val
144,0,0,1,-0.7024092752447672,-1.082161658928474,-0.827620292069049,1.0607600635683698,0.8805679695961939,-0.20042080941018128,1.0752154461846744,164,89.0,0,val
145,0,1,0,-0.7024092752447672,-1.082161658928474,-0.935153634928783,0.24374410343484648,0.9591213755085378,-0.20042080941018128,-0.08215159282571795,169,84.0,0,train
146,1,0,0,-0.7524053088724167,-1.082161658928474,-0.11521189562331137,-0.6438781742410797,1.0062534190559442,-0.10052507626449998,-0.8625028515984825,172,81.0,0,test
147,0,0,1,-0.7524053088724167,-1.082161658928474,0.5501506633212927,-0.39171275444678244,1.0376747814208818,-0.10052507626449998,-0.1574109777609116,174,79.0,0,test
148,1,0,0,-0.8024013425000663,-1.082161658928474,-0.10177022776584463,0.011751917224093241,1.1162281873332258,-0.0006293431188186668,0.08779544669108318,179,74.0,0,test
149,0,1,0,-0.8523973761276875,-1.1495625445340025,-1.0158036420735834,0.8085946437740725,1.1476495496981634,-0.0006293431188186668,0.6092532711178822,181,72.0,0,train
150,1,0,0,-0.8024013425000663,-1.1495625445340025,-0.38404525277264634,-0.00842131635945083,1.1947815932455699,-0.1005250762644432,-0.10186740469679502,184,69.0,0,test
151,1,0,0,-0.8024013425000663,-1.1495625445340025,-0.7268077831380484,0.27400395381016257,1.2262029556105074,-0.1005250762644432,0.08471874488718657,186,67.0,0,test
152,0,1,0,-0.8024013425000663,-1.2169634301395695,-0.45125359205998006,-0.24041350257020405,1.2576243179754452,-0.20042080941012452,-0.4626274645001266,188,65.0,0,val
153,0,1,0,-0.8024013425000663,-1.2169634301395695,0.3619673133167582,0.10253146835004012,1.3047563615228515,-0.20042080941012452,0.48963570565797127,191,62.0,0,train
154,1,0,0,-0.8024013425000663,-1.2169634301395695,2.1497091383598357,-1.3095948824980248,1.3518884050702578,-0.20042080941012452,-0.9475003332089387,194,59.0,0,test
155,1,0,0,-0.8024013425000663,-1.2169634301395695,-0.014399386692310764,-0.3816261376550104,1.3833097674351955,-0.20042080941012452,-0.4334131744743404,196,57.0,0,train
156,0,0,1,-0.8024013425000663,-1.2169634301395695,2.455507082117204,-2.035831291505601,1.414731129800133,-0.20042080941012452,-2.1378388806473834,198,55.0,0,train
157,0,1,0,-0.8024013425000663,-1.2843643157450981,-0.23618690634051212,0.6068623079386347,1.493284535712477,-0.300316542555749,0.8563478895118326,203,50.0,0,train
158,0,0,1,-0.8024013425000663,-1.2169634301395695,-0.3504410831289795,0.3546968881443374,1.5404165792598834,-0.20042080941012452,0.4272390429060466,206,47.0,0,train
159,0,1,0,-0.8024013425000663,-1.2169634301395695,-0.2093035706255786,0.001665300432321206,1.6189699851722275,-0.20042080941012452,0.011932223084096432,211,42.0,0,train
160,1,0,0,-0.8024013425000663,-1.2169634301395695,-0.3974869206301131,0.7077284758563537,1.6661020287196338,-0.20042080941012452,0.8915238883289699,214,39.0,0,train
161,1,0,0,-0.8024013425000663,-1.2169634301395695,-1.6677245331607207,2.0895949763291033,1.6975233910845715,-0.20042080941012452,1.7235177306512546,216,37.0,1,train
162,1,0,0,-0.8523973761276875,-1.2843643157450981,-0.7940161224253821,1.2423191658202637,1.728944753449509,-0.20042080941012452,1.3430226894952,218,35.0,1,test
